title,street,city,state,zip,country,lat,lng,phone,email,website,open_hours,
Hillingdon Hospital,Pield Heath Road,Uxbridge,North London,UB8 3NN,United Kingdom,51.525516,-0.46090535,232-578-447,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Hinchingbrooke Hospital ,Parkway,"Hinchingbrooke, Huntingdon",East Anglia ,PE29 6NT,United Kingdom,52.33335,-0.2026787,232-578-448,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
James Cook University Hosp,Marton Rd,Middlesbrough,North East,TS4 3BW,United Kingdom,54.552075,-1.2142736,232-578-449,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
John Radcliffe Hospital,Headley Way,"Headington, Oxford",North London,OX3 9DU,United Kingdom,51.763871,-1.2198064,232-578-450,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Kings Mill Hospital,Mansfield Rd,Sutton-in-Ashfield ,Midlands,NG17 4JL,United Kingdom,53.134692,-1.2380927,232-578-451,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Kingston Hospital,Galsworthy Road,Kingston upon Thames,South London,KT2 7QB,United Kingdom,51.414285,-0.28308997,232-578-452,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Leighton Hospital Crewe,Middlewich Road,Crewe,North West,CW1 4QJ,United Kingdom,53.117685,-2.4758631,232-578-453,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Lewisham Hospital,Lewisham High Street,London,South London,SE13 6LW,United Kingdom,51.453646,-0.017022889,232-578-454,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Lincoln County Hospital,Greetwell Road,Lincoln,North East,LN2 5QY,United Kingdom,53.232388,-0.51814791,232-578-455,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Luton and Dunstable University Hospital,Lewsey Road,Luton,North London,LU4 0DZ,United Kingdom,51.894177,-0.47426894,232-578-456,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Medway Hospital,Windmill Road,"Gillingham, Kent",SE Coast,ME7 5NY,United Kingdom,51.378267,0.54221759,232-578-457,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Milton Keynes General Hospital,Standing Way,"Eaglestone, Milton Keynes",North London,MK6 5LD,United Kingdom,52.026383,-0.73579539,232-578-458,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Musgrove Park Hospital,Parkfield Dr,Taunton,South West,TA1 5DA,United Kingdom,51.01197,-3.1197783,232-578-459,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
The Royal Victoria Infirmary ,Queen Victoria Road,Newcastle upon Tyne,North East,NE1 4LP,United Kingdom,54.979753,-1.6181094,232-578-460,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Norfolk and Norwich,Colney Lane,Norwich,East Anglia,NR4 7UY,United Kingdom,52.618086,1.2210668,232-578-461,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
North Middlesex Hospital,Sterling Way,London,North London,N18 1QX,United Kingdom,51.613122,-0.074340604,232-578-462,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Northern General Hospital,Herries Road,Sheffield,North East,S5 7AU,United Kingdom,53.423278,-1.4541389,232-578-463,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Nottingham City Hospital,Hucknall Road,Nottingham,Midlands,NG5 1PB,United Kingdom,52.989277,-1.16006,232-578-464,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Peterborough City Hospital,Edith Cavell Campus,"Bretton Gate, Peterborough",East Anglia,PE3 9GZ,United Kingdom,52.585451,-0.28009333,232-578-465,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Salisbury District Hospital,Odstock Rd,"Salisbury, Wiltshire",South West,SP2 8BJ,United Kingdom,51.043955,-1.7898225,232-578-466,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Shrewsbury Hospital,Mytton Oak Rd,Shrewsbury,Midlands,SY3 8XQ,United Kingdom,52.709357,-2.7937517,232-578-467,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Singleton Hospital,Sketty Ln,"Sketty, Swansea",Wales,SA2 8QA,United Kingdom,51.609215,-3.9852627,232-578-468,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Southampton General Hospital ,Tremona Road,"Southampton, Hampshire",South West,SO16 6YD,United Kingdom,50.933019,-1.435104,232-578-469,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Southend University Hospital,Prittlewell Chase,"Southend-on-Sea, Westcliff-on-Sea",East Anglia,SS0 0RY,United Kingdom,51.553836,0.68909337,232-578-470,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Southmead Hospital,Southmead Rd,"Westbury-on-Trym, Bristol",Midlands,BS10 5NB,United Kingdom,51.497333,-2.5929485,232-578-471,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Southport and Ormskirk,Town Lane,Kew Southport Merseyside,North West,PR8 6PN,United Kingdom,53.6328787,-2.9765946,232-578-472,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
St James's University Hospital,Beckett St,Leeds,North East,LS9 7TF,United Kingdom,53.807296,-1.5190784,232-578-473,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
St John's Hospital,Howden Road West,"Howden, Livingston",Scotland,EH54 6PP,United Kingdom,55.891888,-3.5230894,232-578-474,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Stepping Hill,Poplar Grove,"Hazel Grove, Stockport",North West,SK2 7JE,United Kingdom,53.383787,-2.1320199,232-578-475,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Stoke Mandeville,Mandeville Rd,Aylesbury,North London,HP21 8AL,United Kingdom,51.798308,-0.80275732,232-578-476,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Sunderland Royal Hospital,Kayll Rd,Sunderland,North East,SR4 7TP,United Kingdom,54.903063,-1.4110182,232-578-477,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
University College Hospital,235 Euston Rd,"Fitzrovia, London",North London,NW1 2BU,United Kingdom,51.524865,-0.13701251,232-578-478,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
University Hospital Coventry,Clifford Bridge Rd,Coventry ,Midlands,CV2 2DX,United Kingdom,52.421424,-1.4435031,232-578-479,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
University Hospital Wales,Heath Park Way,"Health Park, Cardiff",Wales,CF14 4XW,United Kingdom,51.506764,-3.1893604,232-578-480,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Victoria Infirmary,52 Grange Rd,Glasgow,Scotland,G42 9LF,United Kingdom,55.828606,-4.2653542,232-578-481,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Warrington Hospital,Lovely Ln,Warrington,North West,WA5 1QG,United Kingdom,53.393982,-2.6107326,232-578-482,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Warwick Hospital,Lakin Rd,Warwick,Midlands,CV34 5BW,United Kingdom,52.28995,-1.5832152,232-578-483,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Wexham Park Hospital ,Wexham,Slough,North London,SL2 4HL,United Kingdom,51.533136,-0.57512489,232-578-484,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Wirral Women and Children's Hospital,Birkenhead,Wirral,North West,CH49 5PE,United Kingdom,53.370841,-3.0954486,232-578-485,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Worcestershire Royal Hospital,Charles Hastings Way,Worcester,Midlands,WR5 1DD,United Kingdom,52.191202,-2.1811435,232-578-486,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Albert Edward Infirmary,Wigan Ln,Wigan ,North West,WN1 2NN,United Kingdom,53.557549,-2.6295261,232-578-487,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Leigh Infirmary,The Avenue,Leigh,North West,WN7 1HS,United Kingdom,53.504882,-2.5137524,232-578-488,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
"Queen Elizabeth Hospital, Woolwich",Stadium Road,"Woolwich, London ",South London,SE18 4QH,United Kingdom,51.478577,0.048691764,232-578-489,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
"Queen Elizabeth Hospital, Kings Lynn",Gayton Road,King's Lynn,East Anglia ,PE30 4ET,United Kingdom,52.756781,0.44699931,232-578-490,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
"Queen Mary's Hospital, Sidcup",Frognal Ave,Sidcup,SE Coast,DA14 6LT,United Kingdom,51.418635,0.10325318,232-578-491,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Queens Hospital,Rom Valley Way,Romford,North London,RM7 0AG,United Kingdom,51.568622,0.17891397,232-578-492,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Raigmore Hospital,Old Perth Road,Inverness,Scotland,IV2 3UJ,United Kingdom,57.473823,-4.1924716,232-578-493,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Bournemouth Hospital,Castle Lane East,Bournemouth,South West,BH7 7DW,United Kingdom,50.747482,-1.8205054,232-578-494,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Derby Hospital,Uttoxeter Road,Derby,Midlands,DE22 3NE,United Kingdom,52.911556,-1.5133206,232-578-495,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Gwent Hospital,Cardiff Road,Newport,Wales,NP20 2UB,United Kingdom,51.579798,-2.9981523,232-578-496,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Salford Hospital,Stott Ln,Salford,North West,M6 8HD,United Kingdom,53.487232,-2.3226835,232-578-497,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal United Hospital,Combe Park,"Bath, Avon",Midlands,BA1 3NG,United Kingdom,51.392764,-2.3905661,232-578-498,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
New Cross Hospital,Wolverhampton Rd,"Heath Town, Wolverhampton",Midlands,WV10 0QP,United Kingdom,52.598247,-2.0963786,232-578-499,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Princess Royal Hospital,Lewes Road,Haywards Heath ,SE Coast,RH16 4EX,United Kingdom,50.991198,-0.091075995,232-578-500,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Princess Royal University Hospital,Farnborough Common,Orpington,South London,BR6 8ND,United Kingdom,51.365713,0.059625435,232-578-501,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Queen Elizabeth The Queen Mother Hospital,St Peter's Road,Margate,SE Coast,CT9 4AN,United Kingdom,51.378053,1.3893845,232-578-502,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Queen Alexandra Hospital,Southwick Hill Road,"Cosham, Portsmouth",South West,PO6 3LY,United Kingdom,50.849589,-1.0713238,232-578-503,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Dewsbury and District Hospital,Halifax Rd,Dewsbury,North East,WF13 4HS,United Kingdom,53.7011733,-1.6422302,232-578-504,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
Pinderfields General Hospital,Aberford Rd,Wakefield,North East,WF1 4DG,United Kingdom,53.6945276,-1.4846027,232-578-505,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
Pontefract General Infirmary,Friarwood Ln,Pontefract,North East,WF8 1PL,United Kingdom,53.6890839,-1.3088523,232-578-506,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
Chorley and South Ribble District General Hospital,Chorley and South Ribble District General Hospital,Chorley,North West,PR7 1PP,United Kingdom,53.665564,-2.6357481,232-578-507,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
Royal Preston Hospital,Sharoe Green Lane North,"Fulwood, Preston",North West,PR2 9HT,United Kingdom,53.7911972,-2.7034504000001,232-578-508,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
Western General Hospital ,Crewe Rd S,Edinburgh,,EH4 2XU,United Kingdom,55.961652,-3.2360556,232-578-509,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Burnley General Hospital,Casterton Avenue,Burnley,,BB10 2PQ,United Kingdom,53.810178,-2.2292746,232-578-510,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Solihull Hospital,Lode Lane ,Solihull,,B91 2JL,United Kingdom,52.417123,-1.7743654,232-578-511,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
East Sussex Healthcare trust,The Ridge,East Sussex,,TN37 7RD,United Kingdom,50.8853731,0.56770789999996,232-578-512,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Berkshire Hospital,Craven Rd,Reading,,RG1 5AN,United Kingdom,51.451402,-0.95864504,232-578-513,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
York Hospital,Wigginton Road,York,,YO31 8HE,United Kingdom,53.970547,-1.0836401,232-578-514,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Derriford Hospital,"Derriford Rd, Crownhill",Plymouth,,PL6 8DH,United Kingdom,50.41672,-4.1136845,232-578-515,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Royal Cornwall Hospital,Treliske, Truro ,,TR1 3LQ,United Kingdom,50.267934,-5.0946045,232-578-516,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Bradford Royal Infirmary,Duckworth Ln,Bradford,,BD9 6RJ,United Kingdom,53.80536,-1.7944646,232-578-517,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Spire Southbank Hospital,Bath Road,Worecester,West Midlands,WR53YB,United Kingdom,52.181227,-2.2160134,232-578-518,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Spire Murryfield Hospital ,122 Corstorphine Rd,Edinburgh,North,EH12 6UD,United Kingdom,55.944489,-3.2662035,232-578-519,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
King Edward VII's Hospital ,Beumont Street,London,South East,W1G 6AA,United Kingdom,51.520778,-0.15032527,232-578-520,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
BMI The Beardwood Hospital,Preston New Rd,Blackburn ,North West,BB2 7AE,United Kingdom,53.755136,-2.513269,232-578-521,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Spire Parkway Hospital ,1 Damson Parkway,Solihull ,West Midlands,B91 2PP,United Kingdom,52.421884,-1.7631361,232-578-522,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Reading Urology partnership at The Forbury Clinic,11 Kendrick Road,Reading,Midlands,RG15DN,United Kingdom,51.44882,-0.96458951,232-578-523,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
The Yorkshire Clinic,Bradford Road,Bingley,North East,BD16 ITW ,United Kingdom,53.832002,-1.8179989,232-578-524,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
The Dutchy Hospital, Penventinnie Ln,Truro ,South West,TR1 3UP,United Kingdom,50.267934,-5.093566,232-578-525,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Spire Hospital Cardiff ,Glamorgan House,Cardiff,South West,CF23 8XL,United Kingdom,51.531147,-3.1417433,232-578-526,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Leigh Infirmary,The Avenue,Leigh,North West,WN7 1HS,United Kingdom,53.504882,-2.5137524,232-578-527,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Spire Little Aston,Little Aston Hall Drive,Sutton Coldfield,West Midlands,B74 3UD,United Kingdom,52.60206,-1.8594088,232-578-528,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
St Mary's Hospital,Praed Street,London,,W2 1NY,United Kingdom,51.5171233,-0.17421190000005,232-578-529,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
Queen Charlotte's and Chelsea Hospital,Du Cane Road,London,,W12 0HS,United Kingdom,51.5160128,-0.23675789999993,232-578-530,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
The Princess Grace Hospital,42-52 Nottingham Place,London,,W1U 5NY,United Kingdom,51.5223946,-0.15290770000001,232-578-531,demo@wpmaps.com,https://google.com,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,
