title,description,street,city,state,zip,country,lat,lng,phone,fax,email,website,products,logo
Howards Pool Centre,,7807 Alafia Ridge Road ,River View,FL,33569,United States,27.8724665,-82.2991857,336-854-5567,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/electron.png
Konstruktica,,480 Edsel Drive,Richmond Hill,GA,31324,United States,31.9414288,-81.3147712,336-854-5568,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/electron.png
Mr Lawnmower & Pool,,1681 S Olden Ave,Trenton,NJ,8610,United States,40.2060287,-74.711439,336-854-5569,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Norkem Hardware & Pool Supplies,,230 Route 109,Farmingdale,NY,11735,United States,40.7195641,-73.4158571,336-854-5570,,support@wpmaps.com,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Pitstop Oudshoorn,,284 Valley View Drive,Endicott,NY,13760,United States,42.066449,-76.132053,336-854-5571,,support@wpmaps.com,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/python.png
Pool Warehouse,,1611 W. San Bernardino Road,Covina,CA,91722,United States,34.089822,-117.9235729,336-854-5572,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/electron.png
Pool & Spa Louis Trichardt,,4500 Fuller Drive,Irving,TX,75038,United States,32.868113,-96.9473309,336-854-5573,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Pool Clear,,4635 Crossroads Park Drive,Liverpool,NY,13088,United States,43.123336,-76.1951279,336-854-5574,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/apollostack.png
Poolcraft Blackheath,,2540 Walden Ave,Cheektowaga,NY,14225,United States,42.9085992,-78.741965,336-854-5575,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/apollostack.png
Poolcraft Kensington,,"520 Bean Drive, ",Williston,ND,58801,United States,48.1500513,-103.5998363,336-854-5576,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Ealing Hospital,,9707 Green Park Industrial Drive,St. Louis,MO,63123,United States,38.5293874,-90.327191,336-854-5577,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/lodash.png
Epsom General Hospital,,1407 Westinghouse Boulevard,Charlotte,NC,28273,United States,35.1221737,-80.9360665,336-854-5578,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Forth Valley Hospital,,619 East Sam Houston Parkway South,Pasadena,TX,77503,United States,29.6950399,-95.1512977,336-854-5579,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/lodash.png
Friarage Hospital ,,333 Corporate Drive,Grantsville,MD,21536,United States,39.6873383,-79.147809,336-854-5580,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/electron.png
Frimley Park Hospital,,1080 Trump Road NW,Carrollton,OH,44615,United States,40.5922727,-81.0965482,336-854-5581,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/electron.png
Gartnavel Hospital,,700 W. Main Street,Annville,PA,17003,United States,40.3258463,-76.5294945,336-854-5582,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Goring Hall Hospital,,2571 Cortez Street,Oxnard,CA,93031,United States,34.2323241,-119.1682372,336-854-5583,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
"Diana, Princess of Wales Hospital",,1580 Gabler Road,Chambersburg,PA,17201,United States,39.9616841,-77.6763747,336-854-5584,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
